client_id,age,account_age_months,employment_type,segment
CLI_00186,69,14,Unemployed,Mass-Affluent
CLI_00187,58,34,Salaried,Mass
CLI_00188,50,61,Salaried,Mass-Affluent
CLI_00189,57,119,Unemployed,Mass
CLI_00190,56,4,Self-employed,Mass-Affluent
CLI_00191,35,88,Gig-worker,Mass
CLI_00192,57,59,Gig-worker,Mass
CLI_00193,18,29,Salaried,Mass
CLI_00194,28,83,Salaried,Mass
CLI_00195,45,6,Gig-worker,Mass
CLI_00196,74,97,Salaried,Premium
CLI_00197,42,49,Gig-worker,Private
CLI_00198,67,40,Unemployed,Mass-Affluent
CLI_00199,40,83,Business Owner,Mass
CLI_00200,48,117,Salaried,Mass
CLI_00201,47,65,Gig-worker,Mass-Affluent
CLI_00202,59,69,Gig-worker,Mass
CLI_00203,52,27,Unemployed,Premium
CLI_00204,24,80,Salaried,Mass
CLI_00205,33,6,Salaried,Private
CLI_00206,43,104,Salaried,Mass
CLI_00207,65,13,Salaried,Mass-Affluent
CLI_00208,74,112,Salaried,Mass
CLI_00209,69,64,Self-employed,Premium
CLI_00210,66,62,Self-employed,Mass
CLI_00211,19,99,Salaried,Mass-Affluent
CLI_00212,18,19,Gig-worker,Mass-Affluent
CLI_00213,65,76,Salaried,Mass
CLI_00214,29,80,Unemployed,Mass
CLI_00215,22,43,Unemployed,Mass
CLI_00216,54,74,Business Owner,Mass
CLI_00217,49,89,Unemployed,Mass
CLI_00218,72,20,Salaried,Mass
CLI_00219,26,95,Salaried,Mass
CLI_00220,58,68,Gig-worker,Mass-Affluent
CLI_00221,52,44,Unemployed,Mass-Affluent
CLI_00222,36,23,Salaried,Mass
CLI_00223,65,2,Salaried,Premium
CLI_00224,33,22,Self-employed,Premium
CLI_00225,20,115,Salaried,Mass
CLI_00226,37,57,Gig-worker,Mass
CLI_00227,41,101,Self-employed,Mass
CLI_00228,71,72,Salaried,Mass-Affluent
CLI_00229,73,7,Salaried,Mass-Affluent
CLI_00230,50,78,Self-employed,Mass
CLI_00231,41,56,Gig-worker,Mass-Affluent
CLI_00232,69,119,Business Owner,Mass
CLI_00233,28,67,Salaried,Mass
CLI_00234,66,114,Salaried,Mass-Affluent
CLI_00235,25,16,Self-employed,Mass-Affluent
CLI_00236,53,119,Gig-worker,Mass
CLI_00237,55,83,Salaried,Mass
CLI_00238,57,51,Self-employed,Premium
CLI_00239,37,82,Salaried,Mass
CLI_00240,52,116,Salaried,Mass-Affluent
CLI_00241,65,80,Salaried,Mass
CLI_00242,42,72,Salaried,Mass
CLI_00243,52,97,Gig-worker,Mass
CLI_00244,42,113,Gig-worker,Mass
CLI_00245,46,12,Self-employed,Mass-Affluent
CLI_00246,35,53,Unemployed,Mass
CLI_00247,63,75,Salaried,Mass
CLI_00248,35,5,Salaried,Mass
CLI_00249,19,27,Salaried,Mass
CLI_00250,71,12,Salaried,Premium
CLI_00251,52,17,Self-employed,Mass-Affluent
CLI_00252,33,6,Self-employed,Mass
CLI_00253,58,97,Self-employed,Mass-Affluent
CLI_00254,53,5,Salaried,Mass-Affluent
CLI_00255,50,57,Salaried,Mass-Affluent
CLI_00256,21,28,Gig-worker,Mass
CLI_00257,50,78,Salaried,Mass
CLI_00258,31,69,Gig-worker,Mass
CLI_00259,38,118,Business Owner,Mass-Affluent
CLI_00260,65,59,Salaried,Mass-Affluent
CLI_00261,37,33,Self-employed,Mass
CLI_00262,73,62,Gig-worker,Mass
CLI_00263,25,50,Salaried,Mass
CLI_00264,24,112,Gig-worker,Mass
CLI_00265,20,105,Salaried,Private
CLI_00266,34,19,Salaried,Mass
CLI_00267,50,86,Gig-worker,Mass
CLI_00268,65,69,Unemployed,Private
CLI_00269,29,66,Salaried,Mass
CLI_00270,68,94,Salaried,Mass-Affluent
CLI_00271,39,47,Unemployed,Mass
CLI_00272,72,39,Self-employed,Mass
CLI_00273,39,68,Self-employed,Mass
CLI_00274,63,33,Salaried,Mass-Affluent
CLI_00275,47,13,Unemployed,Mass
CLI_00276,55,84,Salaried,Mass
CLI_00277,55,54,Gig-worker,Mass-Affluent
CLI_00278,62,7,Salaried,Mass
CLI_00279,68,79,Gig-worker,Mass
CLI_00280,71,87,Salaried,Mass
CLI_00281,25,14,Gig-worker,Mass
CLI_00282,44,87,Salaried,Mass-Affluent
CLI_00283,44,19,Salaried,Mass-Affluent
CLI_00284,51,54,Gig-worker,Private
CLI_00285,38,93,Unemployed,Mass-Affluent
CLI_00286,47,20,Business Owner,Mass
CLI_00287,50,29,Salaried,Premium
CLI_00288,45,24,Self-employed,Mass
CLI_00289,64,82,Self-employed,Mass
CLI_00290,50,63,Salaried,Mass
CLI_00291,22,74,Salaried,Mass
CLI_00292,65,105,Self-employed,Mass-Affluent
CLI_00293,36,57,Unemployed,Mass
CLI_00294,21,8,Gig-worker,Mass
CLI_00295,52,90,Gig-worker,Mass
CLI_00296,66,62,Gig-worker,Mass
CLI_00297,34,29,Salaried,Mass
CLI_00298,61,74,Self-employed,Mass-Affluent
CLI_00299,45,17,Self-employed,Mass
CLI_00300,47,66,Salaried,Mass-Affluent
CLI_00301,46,6,Unemployed,Mass
CLI_00302,63,58,Salaried,Mass
CLI_00303,70,69,Business Owner,Mass-Affluent
CLI_00304,23,28,Salaried,Mass-Affluent
CLI_00305,52,62,Salaried,Mass
CLI_00306,58,41,Salaried,Mass-Affluent
CLI_00307,54,69,Gig-worker,Private
CLI_00308,41,82,Salaried,Private
CLI_00309,46,90,Gig-worker,Mass-Affluent
CLI_00310,66,84,Gig-worker,Mass-Affluent
CLI_00311,63,41,Self-employed,Mass
CLI_00312,70,49,Salaried,Mass-Affluent
CLI_00313,48,91,Gig-worker,Mass
CLI_00314,52,49,Salaried,Private
CLI_00315,50,76,Self-employed,Mass
CLI_00316,69,71,Salaried,Mass
CLI_00317,38,3,Unemployed,Mass
CLI_00318,49,10,Self-employed,Mass
CLI_00319,40,98,Gig-worker,Mass
CLI_00320,50,89,Gig-worker,Mass
CLI_00321,20,35,Salaried,Mass-Affluent
CLI_00322,35,80,Salaried,Mass-Affluent
CLI_00323,42,2,Unemployed,Mass
CLI_00324,59,24,Unemployed,Mass-Affluent
CLI_00325,48,74,Salaried,Mass
CLI_00326,71,38,Gig-worker,Mass
CLI_00327,20,22,Self-employed,Mass-Affluent
CLI_00328,57,26,Gig-worker,Mass-Affluent
CLI_00329,63,43,Salaried,Mass
CLI_00330,41,55,Salaried,Mass
CLI_00331,67,39,Salaried,Mass
CLI_00332,49,91,Self-employed,Mass
CLI_00333,64,29,Gig-worker,Mass
CLI_00334,39,111,Gig-worker,Private
CLI_00335,40,102,Unemployed,Mass-Affluent
CLI_00336,19,20,Gig-worker,Mass-Affluent
CLI_00337,44,91,Unemployed,Mass
CLI_00338,59,41,Gig-worker,Mass-Affluent
CLI_00339,19,54,Salaried,Mass
CLI_00340,43,20,Unemployed,Mass
CLI_00341,34,108,Gig-worker,Mass
CLI_00342,57,19,Salaried,Mass-Affluent
CLI_00343,50,84,Salaried,Premium
CLI_00344,26,99,Salaried,Mass
CLI_00345,60,111,Gig-worker,Mass
CLI_00346,71,66,Unemployed,Mass
CLI_00347,65,30,Unemployed,Mass-Affluent
CLI_00348,56,53,Unemployed,Mass
CLI_00349,46,34,Salaried,Mass
CLI_00350,59,22,Salaried,Mass-Affluent
CLI_00351,72,67,Salaried,Mass
CLI_00352,43,6,Unemployed,Mass
CLI_00353,52,79,Salaried,Mass
CLI_00354,67,27,Gig-worker,Mass-Affluent
CLI_00355,42,10,Self-employed,Mass
CLI_00356,41,73,Gig-worker,Private
CLI_00357,30,97,Salaried,Mass-Affluent
CLI_00358,24,96,Business Owner,Mass
CLI_00359,74,48,Business Owner,Mass
CLI_00360,53,70,Salaried,Mass
CLI_00361,62,105,Gig-worker,Mass
CLI_00362,37,59,Business Owner,Premium
CLI_00363,18,100,Salaried,Mass-Affluent
CLI_00364,25,59,Gig-worker,Mass
CLI_00365,63,2,Salaried,Mass
CLI_00366,33,29,Gig-worker,Mass
CLI_00367,31,68,Salaried,Mass
CLI_00368,29,65,Gig-worker,Mass
CLI_00369,68,83,Salaried,Mass
CLI_00370,40,26,Gig-worker,Private
CLI_00371,32,89,Business Owner,Mass
CLI_00372,45,10,Self-employed,Mass
CLI_00373,51,53,Self-employed,Premium
CLI_00374,19,79,Gig-worker,Mass
CLI_00375,49,59,Salaried,Mass
CLI_00376,40,22,Salaried,Mass
CLI_00377,39,51,Unemployed,Mass
CLI_00378,68,48,Salaried,Private
CLI_00379,42,21,Salaried,Premium
CLI_00380,39,22,Self-employed,Premium
CLI_00381,39,100,Salaried,Mass-Affluent
CLI_00382,66,98,Salaried,Mass
CLI_00383,69,30,Business Owner,Premium
CLI_00384,59,25,Unemployed,Private
CLI_00385,23,109,Gig-worker,Mass
CLI_00386,32,28,Business Owner,Mass
CLI_00387,71,65,Self-employed,Mass
CLI_00388,60,113,Self-employed,Mass
CLI_00389,54,45,Salaried,Mass
CLI_00390,50,68,Salaried,Premium
CLI_00391,25,7,Gig-worker,Premium
CLI_00392,70,49,Unemployed,Mass
CLI_00393,61,9,Gig-worker,Mass
CLI_00394,61,36,Salaried,Mass-Affluent
CLI_00395,22,83,Salaried,Mass-Affluent
CLI_00396,56,1,Self-employed,Mass
CLI_00397,21,10,Salaried,Mass-Affluent
CLI_00398,23,36,Gig-worker,Premium
CLI_00399,62,73,Salaried,Premium
CLI_00400,49,109,Salaried,Mass
CLI_00401,69,46,Self-employed,Mass
CLI_00402,47,106,Self-employed,Premium
CLI_00403,64,32,Salaried,Mass
CLI_00404,52,32,Salaried,Mass-Affluent
CLI_00405,72,6,Self-employed,Mass
CLI_00406,57,48,Salaried,Mass
CLI_00407,69,38,Gig-worker,Mass
CLI_00408,33,17,Business Owner,Mass
CLI_00409,30,74,Salaried,Premium
CLI_00410,67,114,Unemployed,Mass
CLI_00411,59,27,Salaried,Premium
CLI_00412,47,54,Gig-worker,Premium
CLI_00413,36,50,Salaried,Mass
CLI_00414,34,35,Business Owner,Mass-Affluent
CLI_00415,73,116,Salaried,Mass
CLI_00416,36,85,Salaried,Mass-Affluent
CLI_00417,45,25,Business Owner,Mass
CLI_00418,72,28,Gig-worker,Mass
CLI_00419,43,111,Gig-worker,Mass
CLI_00420,54,15,Salaried,Mass-Affluent
CLI_00421,43,4,Self-employed,Premium
CLI_00422,70,93,Salaried,Mass
CLI_00423,40,73,Salaried,Mass
CLI_00424,26,27,Gig-worker,Mass
CLI_00425,29,26,Salaried,Mass-Affluent
CLI_00426,70,19,Business Owner,Mass
CLI_00427,18,92,Unemployed,Mass-Affluent
CLI_00428,18,17,Self-employed,Mass
CLI_00429,64,43,Self-employed,Mass
CLI_00430,51,41,Self-employed,Mass-Affluent
CLI_00431,49,42,Salaried,Mass-Affluent
CLI_00432,71,50,Self-employed,Mass-Affluent
CLI_00433,65,84,Salaried,Mass
CLI_00434,42,109,Salaried,Premium
CLI_00435,57,40,Self-employed,Mass
CLI_00436,62,39,Gig-worker,Premium
CLI_00437,70,113,Unemployed,Mass
CLI_00438,18,117,Salaried,Mass
CLI_00439,33,23,Gig-worker,Mass
CLI_00440,56,111,Salaried,Mass
CLI_00441,22,96,Gig-worker,Mass
CLI_00442,39,52,Self-employed,Premium
CLI_00443,46,47,Gig-worker,Mass-Affluent
CLI_00444,72,63,Salaried,Private
CLI_00445,20,97,Salaried,Mass
CLI_00446,29,110,Salaried,Mass
CLI_00447,43,69,Gig-worker,Premium
CLI_00448,33,43,Unemployed,Mass
CLI_00449,68,48,Salaried,Mass
CLI_00450,54,34,Self-employed,Premium
CLI_00451,39,40,Unemployed,Mass
CLI_00452,74,75,Gig-worker,Mass
CLI_00453,46,61,Self-employed,Premium
CLI_00454,31,50,Self-employed,Mass
CLI_00455,45,67,Salaried,Premium
CLI_00456,22,62,Salaried,Mass
CLI_00457,64,58,Salaried,Mass-Affluent
CLI_00458,66,33,Business Owner,Mass
CLI_00459,47,75,Unemployed,Mass-Affluent
CLI_00460,63,16,Self-employed,Mass
CLI_00461,69,82,Salaried,Mass-Affluent
CLI_00462,22,94,Gig-worker,Mass
CLI_00463,29,48,Salaried,Mass
CLI_00464,33,119,Salaried,Mass-Affluent
CLI_00465,43,10,Gig-worker,Mass
CLI_00466,43,82,Business Owner,Mass
CLI_00467,65,38,Unemployed,Mass
CLI_00468,38,19,Self-employed,Mass
CLI_00469,56,36,Salaried,Mass
CLI_00470,53,59,Salaried,Mass
CLI_00471,50,63,Salaried,Mass
CLI_00472,47,77,Self-employed,Mass-Affluent
CLI_00473,54,46,Self-employed,Mass
CLI_00474,40,3,Salaried,Mass
CLI_00475,27,74,Gig-worker,Private
CLI_00476,71,102,Salaried,Premium
CLI_00477,22,65,Salaried,Mass
CLI_00478,53,119,Gig-worker,Mass
CLI_00479,51,91,Salaried,Premium
CLI_00480,69,110,Gig-worker,Mass
CLI_00481,48,8,Unemployed,Mass
CLI_00482,27,51,Gig-worker,Mass
CLI_00483,36,110,Salaried,Mass-Affluent
CLI_00484,49,106,Salaried,Mass
CLI_00485,18,81,Gig-worker,Mass-Affluent
CLI_00486,73,73,Salaried,Mass-Affluent
CLI_00487,22,6,Salaried,Mass
CLI_00488,62,107,Gig-worker,Premium
CLI_00489,21,89,Gig-worker,Mass
CLI_00490,33,39,Self-employed,Mass
CLI_00491,41,113,Salaried,Mass
CLI_00492,33,60,Self-employed,Mass
CLI_00493,72,28,Salaried,Mass
CLI_00494,19,97,Salaried,Mass
CLI_00495,66,54,Gig-worker,Mass
CLI_00496,45,37,Gig-worker,Mass
CLI_00497,49,9,Unemployed,Mass
CLI_00498,44,82,Self-employed,Mass-Affluent
CLI_00499,37,56,Unemployed,Mass
CLI_00500,41,59,Unemployed,Mass-Affluent
CLI_00501,29,85,Gig-worker,Mass
CLI_00502,67,2,Gig-worker,Mass
CLI_00503,52,61,Gig-worker,Mass
CLI_00504,50,58,Business Owner,Mass
CLI_00505,50,107,Self-employed,Mass
CLI_00506,68,60,Salaried,Mass
CLI_00507,60,102,Self-employed,Private
CLI_00508,54,40,Salaried,Private
CLI_00509,29,36,Gig-worker,Mass
CLI_00510,20,114,Salaried,Mass-Affluent
CLI_00511,18,107,Self-employed,Mass
CLI_00512,50,37,Unemployed,Mass
CLI_00513,57,79,Salaried,Mass-Affluent
CLI_00514,27,92,Salaried,Mass
CLI_00515,60,18,Salaried,Mass
CLI_00516,61,98,Self-employed,Mass
CLI_00517,46,63,Salaried,Mass
CLI_00518,30,22,Salaried,Mass
CLI_00519,29,11,Salaried,Mass
CLI_00520,48,58,Gig-worker,Mass
CLI_00521,63,57,Salaried,Mass
CLI_00522,19,77,Self-employed,Mass-Affluent
CLI_00523,68,4,Salaried,Mass
CLI_00524,67,86,Self-employed,Mass-Affluent
CLI_00525,52,7,Salaried,Mass-Affluent
CLI_00526,40,61,Gig-worker,Mass-Affluent
CLI_00527,34,107,Salaried,Mass-Affluent
CLI_00528,43,54,Self-employed,Mass
CLI_00529,25,88,Unemployed,Mass
CLI_00530,46,68,Unemployed,Mass
CLI_00531,43,92,Gig-worker,Private
CLI_00532,27,79,Gig-worker,Mass
CLI_00533,43,1,Self-employed,Mass
CLI_00534,51,55,Self-employed,Mass
CLI_00535,68,3,Salaried,Private
CLI_00536,58,78,Self-employed,Mass
CLI_00537,24,38,Gig-worker,Mass
CLI_00538,21,114,Salaried,Mass
CLI_00539,70,1,Salaried,Private
CLI_00540,67,102,Salaried,Mass
CLI_00541,62,38,Gig-worker,Mass
CLI_00542,28,85,Salaried,Mass-Affluent
CLI_00543,46,112,Salaried,Mass
CLI_00544,73,29,Salaried,Premium
CLI_00545,53,5,Gig-worker,Mass
CLI_00546,42,113,Self-employed,Mass
CLI_00547,38,74,Salaried,Premium
CLI_00548,74,92,Salaried,Private
CLI_00549,53,21,Salaried,Mass
CLI_00550,27,114,Unemployed,Mass
CLI_00551,54,71,Gig-worker,Mass-Affluent
CLI_00552,26,67,Gig-worker,Mass
CLI_00553,41,109,Salaried,Premium
CLI_00554,52,47,Self-employed,Premium
CLI_00555,66,84,Gig-worker,Mass
CLI_00556,52,83,Salaried,Private
CLI_00557,65,35,Salaried,Mass
CLI_00558,53,68,Salaried,Mass-Affluent
CLI_00559,35,69,Self-employed,Mass
CLI_00560,66,1,Unemployed,Premium
CLI_00561,56,68,Gig-worker,Mass-Affluent
CLI_00562,49,12,Self-employed,Mass-Affluent
CLI_00563,41,60,Salaried,Premium
CLI_00564,40,27,Gig-worker,Mass
CLI_00565,49,56,Self-employed,Mass
CLI_00566,54,106,Salaried,Premium
CLI_00567,29,23,Unemployed,Mass-Affluent
CLI_00568,66,25,Salaried,Premium
CLI_00569,72,21,Salaried,Premium
CLI_00570,30,61,Gig-worker,Mass
CLI_00571,40,63,Gig-worker,Mass
CLI_00572,42,52,Self-employed,Mass
CLI_00573,52,88,Salaried,Mass-Affluent
CLI_00574,58,25,Self-employed,Mass
CLI_00575,47,109,Gig-worker,Mass-Affluent
CLI_00576,34,55,Gig-worker,Mass
CLI_00577,66,46,Business Owner,Mass
CLI_00578,37,32,Self-employed,Mass
CLI_00579,65,55,Salaried,Mass
CLI_00580,42,96,Self-employed,Mass-Affluent
CLI_00581,39,5,Salaried,Mass
CLI_00582,30,36,Salaried,Mass
CLI_00583,36,110,Gig-worker,Mass
CLI_00584,66,106,Business Owner,Mass-Affluent
CLI_00585,53,49,Salaried,Mass-Affluent
CLI_00586,29,106,Self-employed,Mass
CLI_00587,58,58,Salaried,Mass-Affluent
CLI_00588,36,39,Self-employed,Mass
CLI_00589,29,80,Gig-worker,Mass
CLI_00590,26,97,Self-employed,Mass-Affluent
CLI_00591,24,113,Salaried,Mass
CLI_00592,45,85,Self-employed,Mass-Affluent
CLI_00593,31,61,Business Owner,Mass
CLI_00594,48,9,Self-employed,Private
CLI_00595,69,6,Gig-worker,Mass
CLI_00596,36,115,Unemployed,Mass
CLI_00597,64,109,Salaried,Premium
CLI_00598,33,35,Self-employed,Mass
CLI_00599,70,39,Unemployed,Mass
CLI_00600,22,22,Salaried,Mass
CLI_00601,52,41,Gig-worker,Mass
CLI_00602,29,118,Salaried,Mass
CLI_00603,42,5,Gig-worker,Mass
CLI_00604,69,42,Gig-worker,Mass-Affluent
CLI_00605,38,87,Salaried,Mass
CLI_00606,53,81,Gig-worker,Mass-Affluent
CLI_00607,70,76,Salaried,Mass
CLI_00608,40,87,Salaried,Mass
CLI_00609,33,80,Salaried,Mass
CLI_00610,74,67,Unemployed,Mass
CLI_00611,56,30,Salaried,Mass
CLI_00612,62,57,Unemployed,Mass
CLI_00613,70,86,Gig-worker,Mass
CLI_00614,59,73,Salaried,Mass
CLI_00615,56,29,Self-employed,Mass
CLI_00616,31,111,Gig-worker,Mass
CLI_00617,48,37,Gig-worker,Mass-Affluent
CLI_00618,22,87,Salaried,Mass
CLI_00619,52,13,Salaried,Mass
CLI_00620,40,32,Salaried,Mass
CLI_00621,46,46,Salaried,Mass
CLI_00622,60,116,Salaried,Mass
CLI_00623,28,111,Salaried,Premium
CLI_00624,35,112,Salaried,Mass-Affluent
CLI_00625,64,23,Salaried,Mass-Affluent
CLI_00626,29,45,Salaried,Mass-Affluent
CLI_00627,26,17,Salaried,Mass
CLI_00628,27,119,Business Owner,Mass
CLI_00629,61,104,Salaried,Mass-Affluent
CLI_00630,34,85,Gig-worker,Mass
CLI_00631,55,66,Salaried,Mass
CLI_00632,24,101,Unemployed,Mass-Affluent
CLI_00633,63,6,Salaried,Mass-Affluent
CLI_00634,30,108,Business Owner,Mass
CLI_00635,57,18,Gig-worker,Mass
CLI_00636,59,94,Salaried,Mass-Affluent
