application_id,client_id,branch_id,requested_amount,status,rejection_reason,application_date
APP_000022,CLI_01834,BR_033,47135.48,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-06-09
APP_000023,CLI_00454,BR_049,31336.41,Approved,None,2026-08-04
APP_000024,CLI_00741,BR_041,36556.61,Denied,Income - Missing Tax Return,2026-08-09
APP_000025,CLI_02381,BR_016,14849.94,Approved,None,2026-08-20
APP_000026,CLI_02358,BR_034,29860.11,Approved,None,2026-04-02
APP_000027,CLI_01444,BR_043,8030.38,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-12
APP_000028,CLI_03681,BR_026,20819.67,Approved,None,2026-05-16
APP_000029,CLI_01749,BR_037,2628.78,Approved,None,2026-04-04
APP_000030,CLI_02402,BR_013,11614.78,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-01
APP_000031,CLI_04920,BR_017,4668.56,Approved,None,2026-08-06
APP_000032,CLI_03172,BR_032,20001.16,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-05
APP_000033,CLI_04241,BR_032,42308.72,Approved,None,2026-04-11
APP_000034,CLI_02007,BR_028,19518.77,Approved,None,2026-06-25
APP_000035,CLI_01787,BR_029,41750.34,Denied,Registry Error - Data Mismatch with Tax Authority,2026-08-26
APP_000036,CLI_01410,BR_025,33168.42,Denied,Document Error - Expired or Illegible ID,2026-05-13
APP_000037,CLI_01763,BR_047,25966.94,Approved,None,2026-04-24
APP_000038,CLI_00910,BR_022,12607.69,Approved,None,2026-03-26
APP_000039,CLI_00761,BR_027,46185.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-08
APP_000040,CLI_03241,BR_044,3655.84,Denied,Document Error - Expired or Illegible ID,2026-07-28
APP_000041,CLI_02690,BR_038,34756.74,Approved,None,2026-07-16
APP_000042,CLI_00531,BR_020,31440.75,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-01
APP_000043,CLI_01360,BR_045,22611.03,Approved,None,2026-06-04
APP_000044,CLI_03819,BR_050,12775.73,Approved,None,2026-06-17
APP_000045,CLI_02028,BR_024,22104.1,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-06
APP_000046,CLI_02561,BR_047,43765.86,Approved,None,2026-04-24
APP_000047,CLI_02178,BR_047,42001.54,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-05-20
APP_000048,CLI_01538,BR_008,47127.68,Approved,None,2026-07-04
APP_000049,CLI_01274,BR_014,16081.87,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-28
APP_000050,CLI_02782,BR_039,19968.1,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-06-30
APP_000051,CLI_00947,BR_014,1917.58,Denied,Restriction - Historical Default on Central Bank SCR,2026-04-09
APP_000052,CLI_01299,BR_005,47204.55,Approved,None,2026-07-09
APP_000053,CLI_02512,BR_047,17140.11,Approved,None,2026-04-29
APP_000054,CLI_02189,BR_021,20804.03,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-04-05
APP_000055,CLI_00882,BR_015,45482.43,Denied,Score - Disabled Positive Credit Registry,2026-08-10
APP_000056,CLI_01848,BR_036,26803.32,Denied,Score - Disabled Positive Credit Registry,2026-04-29
APP_000057,CLI_01976,BR_033,28742.55,Denied,Restriction - Historical Default on Central Bank SCR,2026-05-27
APP_000058,CLI_04269,BR_017,9635.41,Approved,None,2026-05-08
APP_000059,CLI_04569,BR_020,25434.34,Denied,Restriction - Historical Default on Central Bank SCR,2026-08-03
APP_000060,CLI_02965,BR_001,45992.22,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-05
APP_000061,CLI_03064,BR_016,28377.19,Approved,None,2026-08-30
APP_000062,CLI_03129,BR_045,13500.7,Denied,Restriction - Historical Default on Central Bank SCR,2026-07-21
APP_000063,CLI_00498,BR_018,2527.86,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-11
APP_000064,CLI_02217,BR_010,17478.79,Denied,Document Error - Expired or Illegible ID,2026-07-25
APP_000065,CLI_00989,BR_023,29056.95,Denied,Score - Forgotten Micro-Debt,2026-04-23
APP_000066,CLI_02609,BR_018,3088.05,Approved,None,2026-04-01
APP_000067,CLI_02476,BR_049,30879.84,Approved,None,2026-06-16
APP_000068,CLI_04515,BR_009,26647.28,Approved,None,2026-04-11
APP_000069,CLI_01371,BR_046,39388.34,Approved,None,2026-05-19
APP_000070,CLI_03589,BR_030,2415.52,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-22
APP_000071,CLI_02503,BR_013,39261.52,Approved,None,2026-05-04
APP_000072,CLI_04810,BR_031,26522.98,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-04-27
APP_000073,CLI_00179,BR_046,19155.94,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-10
APP_000074,CLI_01930,BR_043,48303.77,Approved,None,2026-06-24
APP_000075,CLI_02549,BR_013,8845.86,Approved,None,2026-05-15
APP_000076,CLI_04835,BR_032,27524.93,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-19
APP_000077,CLI_00112,BR_017,16728.09,Approved,None,2026-03-16
APP_000078,CLI_03220,BR_003,26846.83,Approved,None,2026-08-12
APP_000079,CLI_00715,BR_001,28061.5,Denied,Income - Missing Tax Return,2026-05-17
APP_000080,CLI_01402,BR_005,5382.96,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-20
APP_000081,CLI_02925,BR_032,33395.62,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-18
APP_000082,CLI_01382,BR_025,32089.59,Denied,Document Error - Expired or Illegible ID,2026-05-05
APP_000083,CLI_03128,BR_045,38703.9,Approved,None,2026-05-15
APP_000084,CLI_04909,BR_005,5442.27,Approved,None,2026-08-24
APP_000085,CLI_03012,BR_037,15565.67,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-20
APP_000086,CLI_01209,BR_023,32855.42,Approved,None,2026-04-16
APP_000087,CLI_03126,BR_012,7699.81,Denied,Document Error - Expired or Illegible ID,2026-07-22
APP_000088,CLI_00037,BR_034,34202.31,Approved,None,2026-04-22
APP_000089,CLI_01829,BR_023,3892.31,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-22
APP_000090,CLI_03061,BR_016,17411.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-08
APP_000091,CLI_03342,BR_049,42488.84,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-11
APP_000092,CLI_03942,BR_005,38940.27,Approved,None,2026-04-16
APP_000093,CLI_00810,BR_044,32593.28,Approved,None,2026-07-17
APP_000094,CLI_03073,BR_047,43652.46,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-05-03
APP_000095,CLI_04119,BR_028,35754.21,Approved,None,2026-07-19
APP_000096,CLI_01527,BR_006,26449.38,Denied,Income - Missing Tax Return,2026-05-24
APP_000097,CLI_03520,BR_013,49006.16,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-30
APP_000098,CLI_04892,BR_043,35047.95,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-30
APP_000099,CLI_00496,BR_030,30466.99,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-27
APP_000100,CLI_04996,BR_026,21034.66,Denied,Score - Forgotten Micro-Debt,2026-04-01
APP_000101,CLI_00425,BR_017,45218.21,Approved,None,2026-08-19
APP_000102,CLI_02748,BR_009,15489.75,Approved,None,2026-03-18
APP_000103,CLI_02066,BR_016,1451.76,Denied,Document Error - Expired or Illegible ID,2026-03-19
APP_000104,CLI_01983,BR_049,10640.29,Approved,None,2026-03-27
APP_000105,CLI_01469,BR_018,6366.36,Approved,None,2026-08-18
APP_000106,CLI_03801,BR_013,16630.69,Approved,None,2026-07-13
APP_000107,CLI_01234,BR_029,41468.06,Denied,Registry Error - Data Mismatch with Tax Authority,2026-06-25
APP_000108,CLI_01798,BR_043,32924.95,Approved,None,2026-08-31
APP_000109,CLI_00565,BR_045,9280.05,Approved,None,2026-08-29
APP_000110,CLI_03020,BR_024,39652.26,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-07
APP_000111,CLI_01305,BR_045,25706.77,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-21
APP_000112,CLI_00133,BR_044,26123.02,Denied,Score - Forgotten Micro-Debt,2026-04-22
APP_000113,CLI_00449,BR_046,18743.5,Approved,None,2026-03-14
APP_000114,CLI_01831,BR_013,43366.2,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-18
APP_000115,CLI_02159,BR_025,16598.04,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-06-04
APP_000116,CLI_03627,BR_041,5612.85,Approved,None,2026-05-21
APP_000117,CLI_00850,BR_046,15833.72,Approved,None,2026-04-29
APP_000118,CLI_03963,BR_001,36052.32,Denied,Restriction - Historical Default on Central Bank SCR,2026-06-26
APP_000119,CLI_01481,BR_009,33221.51,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-25
APP_000120,CLI_00901,BR_004,10212.84,Approved,None,2026-08-24
APP_000121,CLI_04855,BR_028,6477.43,Approved,None,2026-07-19
APP_000122,CLI_01540,BR_012,33382.42,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-19
APP_000123,CLI_01900,BR_024,34142.46,Approved,None,2026-07-15
APP_000124,CLI_02945,BR_046,18941.33,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-01
APP_000125,CLI_04958,BR_009,42297.27,Approved,None,2026-08-07
APP_000126,CLI_03245,BR_035,48932.05,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-06
APP_000127,CLI_00515,BR_038,11076.62,Denied,Score - Forgotten Micro-Debt,2026-05-11
APP_000128,CLI_01592,BR_035,29276.37,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-08
APP_000129,CLI_00084,BR_033,1261.97,Approved,None,2026-05-02
APP_000130,CLI_03743,BR_035,35939.67,Approved,None,2026-08-28
APP_000131,CLI_04894,BR_046,21299.82,Approved,None,2026-04-09
APP_000132,CLI_02128,BR_020,10470.19,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-16
APP_000133,CLI_01602,BR_002,37858.87,Denied,Score - Forgotten Micro-Debt,2026-05-06
APP_000134,CLI_04618,BR_044,40721.79,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-18
APP_000135,CLI_01223,BR_026,6447.16,Denied,Registry Error - Data Mismatch with Tax Authority,2026-06-04
APP_000136,CLI_04330,BR_042,3008.79,Approved,None,2026-08-29
APP_000137,CLI_01843,BR_013,17369.84,Approved,None,2026-04-14
APP_000138,CLI_02292,BR_030,31673.53,Denied,Score - Disabled Positive Credit Registry,2026-04-09
APP_000139,CLI_01590,BR_032,39877.56,Denied,Score - Disabled Positive Credit Registry,2026-05-06
APP_000140,CLI_02897,BR_036,27757.06,Approved,None,2026-08-10
APP_000141,CLI_04489,BR_019,29456.69,Approved,None,2026-07-24
APP_000142,CLI_00009,BR_022,40193.05,Approved,None,2026-07-24
APP_000143,CLI_04709,BR_001,26913.33,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-17
APP_000144,CLI_00715,BR_011,30946.57,Approved,None,2026-05-24
APP_000145,CLI_01928,BR_026,26294.65,Denied,Registry Error - Data Mismatch with Tax Authority,2026-08-16
APP_000146,CLI_00110,BR_048,44142.45,Approved,None,2026-03-06
APP_000147,CLI_04930,BR_019,12540.31,Approved,None,2026-05-06
APP_000148,CLI_00266,BR_019,13935.69,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-03
APP_000149,CLI_03224,BR_012,7270.11,Denied,Score - Forgotten Micro-Debt,2026-06-22
APP_000150,CLI_00955,BR_003,41153.87,Approved,None,2026-03-16
APP_000151,CLI_01350,BR_018,21177.09,Approved,None,2026-03-29
APP_000152,CLI_01575,BR_049,18046.8,Denied,Score - Disabled Positive Credit Registry,2026-06-16
APP_000153,CLI_02224,BR_005,49086.09,Approved,None,2026-04-05
APP_000154,CLI_03832,BR_048,46413.36,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-22
APP_000155,CLI_03256,BR_024,48627.4,Approved,None,2026-04-28
APP_000156,CLI_01059,BR_014,7972.65,Approved,None,2026-05-25
APP_000157,CLI_01958,BR_038,44671.34,Approved,None,2026-05-08
APP_000158,CLI_04945,BR_003,17106.77,Approved,None,2026-08-17
APP_000159,CLI_03148,BR_006,1620.18,Approved,None,2026-06-03
APP_000160,CLI_02520,BR_012,20173.62,Denied,Score - Disabled Positive Credit Registry,2026-03-11
APP_000161,CLI_03654,BR_011,25950.62,Approved,None,2026-04-19
APP_000162,CLI_02571,BR_039,6302.8,Approved,None,2026-04-08
APP_000163,CLI_02928,BR_026,27346.2,Approved,None,2026-06-04
APP_000164,CLI_03888,BR_001,41153.72,Approved,None,2026-04-05
APP_000165,CLI_00888,BR_016,19504.9,Approved,None,2026-05-08
APP_000166,CLI_00745,BR_048,18279.6,Approved,None,2026-04-18
APP_000167,CLI_03515,BR_049,17601.71,Denied,Income - Missing Tax Return,2026-08-12
APP_000168,CLI_02931,BR_047,46231.63,Approved,None,2026-06-11
APP_000169,CLI_02680,BR_009,3389.15,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-07
APP_000170,CLI_00176,BR_005,22808.73,Denied,Score - Disabled Positive Credit Registry,2026-06-26
APP_000171,CLI_00566,BR_008,13965.37,Approved,None,2026-07-01
APP_000172,CLI_03218,BR_021,44796.54,Approved,None,2026-08-14
APP_000173,CLI_04358,BR_033,5706.56,Approved,None,2026-06-02
APP_000174,CLI_04627,BR_039,21160.7,Approved,None,2026-05-14
APP_000175,CLI_01395,BR_043,20933.99,Approved,None,2026-07-07
APP_000176,CLI_01221,BR_020,44531.33,Approved,None,2026-06-08
APP_000177,CLI_00948,BR_045,11559.18,Approved,None,2026-04-04
APP_000178,CLI_00585,BR_022,32599.88,Approved,None,2026-08-24
APP_000179,CLI_02863,BR_013,7585.9,Approved,None,2026-04-15
APP_000180,CLI_01621,BR_039,47744.81,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-17
APP_000181,CLI_03356,BR_011,30057.73,Approved,None,2026-08-20
APP_000182,CLI_02350,BR_018,31686.58,Approved,None,2026-03-09
APP_000183,CLI_03192,BR_030,22254.9,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-21
APP_000184,CLI_03208,BR_033,17771.85,Denied,Score - Forgotten Micro-Debt,2026-06-30
APP_000185,CLI_02577,BR_044,11421.15,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-05
APP_000186,CLI_00532,BR_003,30595.4,Approved,None,2026-07-28
APP_000187,CLI_01232,BR_001,47773.53,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-24
APP_000188,CLI_01994,BR_036,18629.76,Approved,None,2026-04-18
APP_000189,CLI_01698,BR_006,44274.69,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-12
APP_000190,CLI_03371,BR_037,8290.04,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-24
APP_000191,CLI_01546,BR_029,46870.18,Approved,None,2026-06-25
APP_000192,CLI_03166,BR_011,18173.83,Approved,None,2026-03-26
APP_000193,CLI_01438,BR_013,19606.63,Approved,None,2026-03-25
APP_000194,CLI_00371,BR_011,23679.27,Approved,None,2026-04-13
APP_000195,CLI_04505,BR_038,36193.97,Approved,None,2026-06-07
APP_000196,CLI_00617,BR_025,36263.02,Approved,None,2026-08-06
APP_000197,CLI_04167,BR_015,24499.84,Approved,None,2026-06-12
APP_000198,CLI_04015,BR_013,26634.49,Approved,None,2026-03-28
APP_000199,CLI_04180,BR_042,2470.51,Denied,Score - Disabled Positive Credit Registry,2026-05-04
APP_000200,CLI_02257,BR_033,15910.54,Approved,None,2026-08-14
APP_000201,CLI_04355,BR_013,17954.84,Approved,None,2026-06-24
APP_000202,CLI_03311,BR_038,28377.64,Approved,None,2026-04-14
APP_000203,CLI_00932,BR_024,28356.69,Approved,None,2026-04-24
APP_000204,CLI_02330,BR_020,35785.09,Approved,None,2026-03-15
APP_000205,CLI_00394,BR_044,36134.34,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-19
APP_000206,CLI_02466,BR_017,12525.33,Approved,None,2026-07-16
APP_000207,CLI_03278,BR_050,38739.17,Approved,None,2026-05-01
APP_000208,CLI_01930,BR_024,1960.57,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-09
APP_000209,CLI_00626,BR_026,36091.93,Approved,None,2026-08-17
APP_000210,CLI_04658,BR_040,6000.99,Denied,Score - Forgotten Micro-Debt,2026-03-24
APP_000211,CLI_02880,BR_032,36752.76,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-03-09
APP_000212,CLI_03167,BR_029,26828.79,Approved,None,2026-06-27
APP_000213,CLI_03423,BR_014,22425.47,Denied,Income - Missing Tax Return,2026-06-12
APP_000214,CLI_02110,BR_037,34842.65,Approved,None,2026-07-27
APP_000215,CLI_01166,BR_022,2782.17,Approved,None,2026-08-15
APP_000216,CLI_02782,BR_034,11950.05,Approved,None,2026-08-30
APP_000217,CLI_01892,BR_027,31205.57,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-30
APP_000218,CLI_03183,BR_028,42513.55,Approved,None,2026-05-31
APP_000219,CLI_01640,BR_022,19674.27,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-30
APP_000220,CLI_00782,BR_043,13679.31,Approved,None,2026-04-20
APP_000221,CLI_04693,BR_003,26418.09,Approved,None,2026-03-14
APP_000222,CLI_02057,BR_022,31493.45,Approved,None,2026-05-24
APP_000223,CLI_02324,BR_048,21585.05,Denied,Income - Missing Tax Return,2026-06-05
APP_000224,CLI_02275,BR_021,43958.82,Denied,Income - Missing Tax Return,2026-08-21
APP_000225,CLI_02234,BR_016,26648.5,Approved,None,2026-08-27
APP_000226,CLI_02639,BR_009,2755.36,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-02
APP_000227,CLI_03288,BR_013,11929.64,Approved,None,2026-04-16
APP_000228,CLI_02481,BR_010,23081.7,Denied,Income - Missing Tax Return,2026-06-02
APP_000229,CLI_02617,BR_049,35188.55,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-06-02
APP_000230,CLI_00356,BR_021,11767.86,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-02
APP_000231,CLI_04488,BR_049,48836.61,Approved,None,2026-05-02
APP_000232,CLI_04675,BR_042,16609.35,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-06
APP_000233,CLI_03347,BR_040,27091.53,Approved,None,2026-07-02
APP_000234,CLI_03523,BR_007,1929.35,Approved,None,2026-05-22
APP_000235,CLI_02468,BR_046,44359.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-06
APP_000236,CLI_00164,BR_022,39652.9,Denied,Score - Forgotten Micro-Debt,2026-05-15
APP_000237,CLI_03635,BR_018,10577.44,Approved,None,2026-05-12
APP_000238,CLI_04734,BR_021,46728.6,Approved,None,2026-07-24
APP_000239,CLI_03664,BR_050,16476.15,Approved,None,2026-08-29
APP_000240,CLI_03255,BR_014,34917.13,Denied,Registry Error - Data Mismatch with Tax Authority,2026-07-25
APP_000241,CLI_03382,BR_010,41129.84,Approved,None,2026-07-21
APP_000242,CLI_02065,BR_033,37304.81,Approved,None,2026-07-15
APP_000243,CLI_04266,BR_009,45961.56,Approved,None,2026-08-19
APP_000244,CLI_03985,BR_018,43349.46,Approved,None,2026-06-04
APP_000245,CLI_03888,BR_013,49735.96,Denied,Income - Missing Tax Return,2026-06-05
APP_000246,CLI_00340,BR_017,9947.96,Denied,Score - Forgotten Micro-Debt,2026-07-07
APP_000247,CLI_04822,BR_023,15933.33,Approved,None,2026-06-30
APP_000248,CLI_03782,BR_025,32175.07,Approved,None,2026-06-13
APP_000249,CLI_03591,BR_016,36919.31,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-20
APP_000250,CLI_01934,BR_024,27195.65,Denied,Registry Error - Data Mismatch with Tax Authority,2026-06-18
APP_000251,CLI_01646,BR_031,4622.49,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-06
APP_000252,CLI_04229,BR_011,42238.17,Approved,None,2026-04-05
APP_000253,CLI_02688,BR_023,48082.84,Denied,Restriction - Historical Default on Central Bank SCR,2026-03-12
APP_000254,CLI_04919,BR_041,20870.33,Denied,Document Error - Expired or Illegible ID,2026-03-21
APP_000255,CLI_02127,BR_039,12015.81,Approved,None,2026-06-30
APP_000256,CLI_04442,BR_022,1946.37,Denied,Document Error - Expired or Illegible ID,2026-04-28
APP_000257,CLI_04705,BR_033,12627.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-04-29
APP_000258,CLI_00639,BR_041,35296.02,Approved,None,2026-08-31
APP_000259,CLI_01225,BR_042,45667.88,Approved,None,2026-06-01
APP_000260,CLI_03706,BR_048,5582.14,Approved,None,2026-05-05
APP_000261,CLI_03911,BR_018,28109.7,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-24
APP_000262,CLI_04246,BR_014,35081.03,Approved,None,2026-07-31
APP_000263,CLI_01550,BR_028,14542.66,Approved,None,2026-04-28
APP_000264,CLI_04146,BR_011,28924.95,Approved,None,2026-08-06
APP_000265,CLI_01506,BR_024,36047.17,Approved,None,2026-07-02
APP_000266,CLI_04431,BR_036,42048.24,Denied,Score - Forgotten Micro-Debt,2026-05-12
APP_000267,CLI_01376,BR_019,23172.49,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-04-09
APP_000268,CLI_00668,BR_013,37645.0,Denied,Income - Missing Tax Return,2026-06-24
APP_000269,CLI_02375,BR_033,15787.37,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-03
APP_000270,CLI_04091,BR_019,11439.29,Denied,Score - Forgotten Micro-Debt,2026-06-30
APP_000271,CLI_01016,BR_047,10178.37,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-20
APP_000272,CLI_00336,BR_032,18584.76,Approved,None,2026-05-19
APP_000273,CLI_04762,BR_015,2758.1,Denied,Score - Disabled Positive Credit Registry,2026-05-09
APP_000274,CLI_00081,BR_011,14866.6,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-11
APP_000275,CLI_02135,BR_023,32958.92,Approved,None,2026-03-12
APP_000276,CLI_01800,BR_005,32748.03,Denied,Income - Missing Tax Return,2026-03-12
APP_000277,CLI_00258,BR_022,4604.14,Denied,Score - Disabled Positive Credit Registry,2026-06-06
APP_000278,CLI_00185,BR_042,15083.37,Approved,None,2026-07-28
APP_000279,CLI_00123,BR_018,28908.33,Approved,None,2026-07-11
APP_000280,CLI_04701,BR_007,16609.05,Approved,None,2026-07-17
APP_000281,CLI_05000,BR_033,21481.41,Approved,None,2026-07-06
APP_000282,CLI_03515,BR_003,35927.73,Approved,None,2026-07-21
APP_000283,CLI_01395,BR_028,1454.07,Approved,None,2026-06-16
APP_000284,CLI_02353,BR_001,14543.28,Approved,None,2026-05-26
APP_000285,CLI_03220,BR_049,7976.24,Approved,None,2026-08-16
APP_000286,CLI_01309,BR_047,7252.85,Approved,None,2026-04-21
APP_000287,CLI_03945,BR_037,47992.97,Approved,None,2026-08-31
APP_000288,CLI_01942,BR_022,19451.46,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-04
APP_000289,CLI_00491,BR_048,26827.34,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-15
APP_000290,CLI_01055,BR_044,36957.27,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-02
APP_000291,CLI_00702,BR_019,3324.93,Approved,None,2026-08-06
APP_000292,CLI_02935,BR_014,12810.11,Approved,None,2026-07-29
APP_000293,CLI_04696,BR_003,41775.24,Approved,None,2026-05-10
APP_000294,CLI_01135,BR_019,43237.54,Denied,Registry Error - Data Mismatch with Tax Authority,2026-07-05
APP_000295,CLI_00080,BR_033,19274.6,Approved,None,2026-04-19
APP_000296,CLI_00836,BR_021,19368.22,Approved,None,2026-08-07
APP_000297,CLI_00652,BR_001,38087.95,Approved,None,2026-04-14
APP_000298,CLI_00417,BR_026,15458.44,Approved,None,2026-03-26
APP_000299,CLI_03681,BR_010,6737.61,Denied,Score - Disabled Positive Credit Registry,2026-08-05
APP_000300,CLI_03867,BR_035,13619.24,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-06-07
APP_000301,CLI_00746,BR_013,19979.89,Denied,Document Error - Expired or Illegible ID,2026-03-23
APP_000302,CLI_02003,BR_006,3558.03,Approved,None,2026-05-06
APP_000303,CLI_00240,BR_043,24455.33,Approved,None,2026-06-12
APP_000304,CLI_02894,BR_006,37260.37,Approved,None,2026-06-18
APP_000305,CLI_01945,BR_035,26173.51,Approved,None,2026-05-31
APP_000306,CLI_00856,BR_016,4522.87,Denied,Score - Forgotten Micro-Debt,2026-07-29
APP_000307,CLI_03516,BR_041,22567.33,Approved,None,2026-05-09
APP_000308,CLI_02647,BR_008,35736.33,Approved,None,2026-03-20
APP_000309,CLI_03195,BR_003,3846.74,Approved,None,2026-05-11
APP_000310,CLI_04516,BR_005,3932.51,Denied,Document Error - Expired or Illegible ID,2026-05-12
APP_000311,CLI_04805,BR_021,19159.47,Approved,None,2026-07-03
APP_000312,CLI_02599,BR_031,10553.23,Denied,Score - Forgotten Micro-Debt,2026-08-06
APP_000313,CLI_01354,BR_014,46804.26,Denied,Restriction - Historical Default on Central Bank SCR,2026-04-28
APP_000314,CLI_02036,BR_037,29485.84,Denied,Restriction - Historical Default on Central Bank SCR,2026-03-12
APP_000315,CLI_02881,BR_019,15078.94,Approved,None,2026-07-18
APP_000316,CLI_00680,BR_037,35534.06,Denied,Income - Missing Tax Return,2026-07-31
APP_000317,CLI_00487,BR_020,19371.52,Denied,Score - Forgotten Micro-Debt,2026-06-22
