application_id,client_id,branch_id,age,segment,employment_type,account_age_months,requested_amount,status,rejection_reason,recommended_action
APP_000030,CLI_02402,BR_013,67,Mass,Self-employed,111,11614.78,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000032,CLI_03172,BR_032,64,Mass,Gig-worker,51,20001.16,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000035,CLI_01787,BR_029,66,Mass,Salaried,23,41750.34,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000036,CLI_01410,BR_025,25,Mass,Salaried,8,33168.42,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000039,CLI_00761,BR_027,22,Mass-Affluent,Self-employed,66,46185.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000040,CLI_03241,BR_044,60,Premium,Salaried,63,3655.84,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000042,CLI_00531,BR_020,43,Private,Gig-worker,92,31440.75,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000045,CLI_02028,BR_024,28,Mass,Unemployed,27,22104.1,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000047,CLI_02178,BR_047,23,Mass-Affluent,Self-employed,1,42001.54,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000049,CLI_01274,BR_014,35,Mass,Salaried,13,16081.87,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000050,CLI_02782,BR_039,20,Mass,Self-employed,77,19968.1,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000054,CLI_02189,BR_021,25,Mass-Affluent,Gig-worker,81,20804.03,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000055,CLI_00882,BR_015,27,Mass,Gig-worker,79,45482.43,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000056,CLI_01848,BR_036,42,Mass,Gig-worker,92,26803.32,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000060,CLI_02965,BR_001,54,Private,Business Owner,25,45992.22,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000063,CLI_00498,BR_018,44,Mass-Affluent,Self-employed,82,2527.86,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000064,CLI_02217,BR_010,72,Mass-Affluent,Salaried,27,17478.79,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000065,CLI_00989,BR_023,52,Mass-Affluent,Salaried,59,29056.95,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000070,CLI_03589,BR_030,22,Mass-Affluent,Gig-worker,85,2415.52,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000072,CLI_04810,BR_031,39,Mass-Affluent,Gig-worker,48,26522.98,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000073,CLI_00179,BR_046,36,Mass,Salaried,43,19155.94,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000076,CLI_04835,BR_032,45,Mass,Salaried,66,27524.93,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000079,CLI_00715,BR_001,70,Mass,Gig-worker,62,28061.5,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000080,CLI_01402,BR_005,45,Mass,Unemployed,58,5382.96,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000081,CLI_02925,BR_032,68,Premium,Salaried,82,33395.62,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000082,CLI_01382,BR_025,73,Mass,Salaried,103,32089.59,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000085,CLI_03012,BR_037,21,Mass,Salaried,40,15565.67,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000087,CLI_03126,BR_012,29,Mass,Salaried,111,7699.81,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000089,CLI_01829,BR_023,40,Mass,Gig-worker,71,3892.31,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000090,CLI_03061,BR_016,40,Mass-Affluent,Self-employed,98,17411.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000091,CLI_03342,BR_049,50,Mass,Self-employed,116,42488.84,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000094,CLI_03073,BR_047,52,Mass,Gig-worker,73,43652.46,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000096,CLI_01527,BR_006,63,Mass-Affluent,Self-employed,17,26449.38,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000097,CLI_03520,BR_013,23,Mass,Self-employed,107,49006.16,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000098,CLI_04892,BR_043,26,Mass,Salaried,20,35047.95,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000099,CLI_00496,BR_030,45,Mass,Gig-worker,37,30466.99,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000100,CLI_04996,BR_026,38,Mass,Salaried,64,21034.66,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000103,CLI_02066,BR_016,33,Mass,Salaried,37,1451.76,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000107,CLI_01234,BR_029,62,Private,Salaried,64,41468.06,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000110,CLI_03020,BR_024,46,Mass,Self-employed,118,39652.26,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000111,CLI_01305,BR_045,54,Mass-Affluent,Salaried,38,25706.77,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000112,CLI_00133,BR_044,54,Mass-Affluent,Salaried,105,26123.02,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000114,CLI_01831,BR_013,26,Mass,Self-employed,50,43366.2,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000115,CLI_02159,BR_025,69,Mass,Gig-worker,32,16598.04,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000119,CLI_01481,BR_009,64,Mass-Affluent,Self-employed,62,33221.51,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000122,CLI_01540,BR_012,53,Mass-Affluent,Salaried,86,33382.42,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000124,CLI_02945,BR_046,63,Mass,Unemployed,77,18941.33,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000126,CLI_03245,BR_035,63,Mass,Self-employed,27,48932.05,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000127,CLI_00515,BR_038,60,Mass,Salaried,18,11076.62,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000128,CLI_01592,BR_035,71,Mass,Salaried,24,29276.37,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000132,CLI_02128,BR_020,25,Mass,Unemployed,82,10470.19,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000133,CLI_01602,BR_002,53,Mass,Salaried,67,37858.87,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000134,CLI_04618,BR_044,20,Mass,Salaried,102,40721.79,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000135,CLI_01223,BR_026,19,Mass-Affluent,Unemployed,49,6447.16,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000138,CLI_02292,BR_030,65,Mass,Gig-worker,21,31673.53,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000139,CLI_01590,BR_032,57,Mass,Gig-worker,34,39877.56,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000143,CLI_04709,BR_001,53,Mass,Gig-worker,28,26913.33,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000145,CLI_01928,BR_026,48,Mass,Salaried,5,26294.65,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000148,CLI_00266,BR_019,34,Mass,Salaried,19,13935.69,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000149,CLI_03224,BR_012,54,Mass-Affluent,Salaried,30,7270.11,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000152,CLI_01575,BR_049,60,Mass,Self-employed,4,18046.8,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000154,CLI_03832,BR_048,58,Mass-Affluent,Gig-worker,49,46413.36,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000160,CLI_02520,BR_012,61,Mass-Affluent,Gig-worker,110,20173.62,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000167,CLI_03515,BR_049,66,Mass,Self-employed,68,17601.71,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000169,CLI_02680,BR_009,54,Mass,Self-employed,19,3389.15,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000170,CLI_00176,BR_005,20,Mass-Affluent,Gig-worker,18,22808.73,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000180,CLI_01621,BR_039,18,Premium,Gig-worker,50,47744.81,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000183,CLI_03192,BR_030,46,Mass,Salaried,67,22254.9,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000184,CLI_03208,BR_033,30,Mass,Salaried,16,17771.85,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000185,CLI_02577,BR_044,30,Mass,Gig-worker,89,11421.15,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000187,CLI_01232,BR_001,64,Mass,Business Owner,95,47773.53,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000189,CLI_01698,BR_006,56,Mass,Gig-worker,112,44274.69,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000190,CLI_03371,BR_037,69,Mass,Self-employed,116,8290.04,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000199,CLI_04180,BR_042,47,Premium,Self-employed,12,2470.51,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000205,CLI_00394,BR_044,61,Mass-Affluent,Salaried,36,36134.34,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000208,CLI_01930,BR_024,59,Premium,Salaried,86,1960.57,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000210,CLI_04658,BR_040,64,Private,Unemployed,76,6000.99,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000211,CLI_02880,BR_032,71,Mass-Affluent,Gig-worker,94,36752.76,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000213,CLI_03423,BR_014,38,Mass,Self-employed,94,22425.47,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000217,CLI_01892,BR_027,49,Mass,Business Owner,23,31205.57,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000219,CLI_01640,BR_022,54,Premium,Salaried,116,19674.27,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000223,CLI_02324,BR_048,18,Mass,Gig-worker,96,21585.05,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000224,CLI_02275,BR_021,56,Mass,Gig-worker,36,43958.82,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000226,CLI_02639,BR_009,43,Mass,Gig-worker,16,2755.36,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000228,CLI_02481,BR_010,48,Mass,Self-employed,12,23081.7,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000229,CLI_02617,BR_049,59,Mass,Salaried,90,35188.55,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000230,CLI_00356,BR_021,41,Private,Gig-worker,73,11767.86,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000232,CLI_04675,BR_042,33,Premium,Salaried,32,16609.35,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000235,CLI_02468,BR_046,45,Mass,Self-employed,115,44359.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000236,CLI_00164,BR_022,69,Private,Salaried,109,39652.9,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000240,CLI_03255,BR_014,53,Mass-Affluent,Salaried,29,34917.13,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000245,CLI_03888,BR_013,36,Mass,Gig-worker,26,49735.96,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000246,CLI_00340,BR_017,43,Mass,Unemployed,20,9947.96,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000249,CLI_03591,BR_016,28,Mass-Affluent,Self-employed,70,36919.31,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000250,CLI_01934,BR_024,70,Mass,Business Owner,65,27195.65,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000251,CLI_01646,BR_031,72,Mass,Unemployed,38,4622.49,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000254,CLI_04919,BR_041,27,Mass,Salaried,49,20870.33,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000256,CLI_04442,BR_022,58,Mass,Unemployed,84,1946.37,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000257,CLI_04705,BR_033,70,Mass,Self-employed,39,12627.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000261,CLI_03911,BR_018,39,Mass,Gig-worker,13,28109.7,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000266,CLI_04431,BR_036,31,Mass,Salaried,55,42048.24,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000267,CLI_01376,BR_019,18,Mass,Gig-worker,52,23172.49,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000268,CLI_00668,BR_013,56,Mass-Affluent,Gig-worker,9,37645.0,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000269,CLI_02375,BR_033,31,Premium,Salaried,87,15787.37,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000270,CLI_04091,BR_019,35,Mass,Salaried,38,11439.29,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000271,CLI_01016,BR_047,53,Mass,Self-employed,85,10178.37,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000273,CLI_04762,BR_015,62,Mass,Self-employed,44,2758.1,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000274,CLI_00081,BR_011,19,Mass-Affluent,Business Owner,30,14866.6,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000276,CLI_01800,BR_005,28,Mass,Self-employed,18,32748.03,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000277,CLI_00258,BR_022,31,Mass,Gig-worker,69,4604.14,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000288,CLI_01942,BR_022,30,Mass,Salaried,3,19451.46,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000289,CLI_00491,BR_048,41,Mass,Salaried,113,26827.34,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000290,CLI_01055,BR_044,20,Mass,Salaried,14,36957.27,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000294,CLI_01135,BR_019,66,Mass,Salaried,90,43237.54,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000299,CLI_03681,BR_010,36,Mass,Gig-worker,29,6737.61,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000300,CLI_03867,BR_035,26,Mass,Salaried,62,13619.24,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000301,CLI_00746,BR_013,34,Mass-Affluent,Unemployed,19,19979.89,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000306,CLI_00856,BR_016,56,Mass-Affluent,Unemployed,101,4522.87,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000310,CLI_04516,BR_005,28,Mass,Salaried,13,3932.51,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000312,CLI_02599,BR_031,66,Mass,Unemployed,57,10553.23,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000316,CLI_00680,BR_037,20,Mass,Gig-worker,29,35534.06,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000317,CLI_00487,BR_020,22,Mass,Salaried,6,19371.52,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000318,CLI_03621,BR_002,44,Mass-Affluent,Business Owner,34,7473.67,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000319,CLI_03651,BR_007,72,Mass,Salaried,45,12624.38,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000322,CLI_04315,BR_042,24,Mass,Gig-worker,43,14361.76,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000324,CLI_00691,BR_007,61,Mass,Salaried,77,10855.62,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000327,CLI_02348,BR_043,25,Mass,Gig-worker,15,36077.46,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000328,CLI_03709,BR_029,58,Mass-Affluent,Salaried,10,32640.66,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000330,CLI_01923,BR_025,22,Mass-Affluent,Business Owner,63,3861.23,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000337,CLI_03175,BR_009,30,Mass-Affluent,Salaried,95,25950.47,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000339,CLI_01400,BR_021,19,Mass-Affluent,Gig-worker,17,20206.5,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000349,CLI_04136,BR_035,45,Mass,Salaried,2,16213.43,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000353,CLI_03388,BR_009,52,Mass,Self-employed,64,2321.76,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000357,CLI_01248,BR_024,44,Mass,Self-employed,64,41134.37,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000359,CLI_03323,BR_049,63,Mass,Gig-worker,99,36285.44,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000361,CLI_00126,BR_050,66,Mass,Unemployed,113,10165.21,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000362,CLI_01230,BR_020,30,Mass,Salaried,86,35238.26,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000363,CLI_03212,BR_017,50,Mass,Salaried,15,27821.99,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000364,CLI_03134,BR_028,48,Mass,Gig-worker,61,2488.32,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000365,CLI_01307,BR_006,43,Mass,Self-employed,60,32682.81,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000368,CLI_02378,BR_028,54,Mass-Affluent,Salaried,13,18100.4,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000369,CLI_01460,BR_001,71,Mass,Gig-worker,52,29709.05,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000371,CLI_00813,BR_035,38,Mass-Affluent,Unemployed,31,42783.45,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000372,CLI_00852,BR_024,31,Mass,Self-employed,64,2346.82,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000376,CLI_00635,BR_037,57,Mass,Gig-worker,18,31385.59,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000377,CLI_00669,BR_016,20,Mass,Salaried,47,20783.3,Denied,Registry Error - Data Mismatch with Tax Authority,Fast Update - ID Verification
APP_000380,CLI_00269,BR_035,29,Mass,Salaried,66,4346.01,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000383,CLI_03291,BR_042,57,Mass,Business Owner,29,1680.62,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000385,CLI_01262,BR_047,55,Mass,Gig-worker,119,10546.36,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000389,CLI_04888,BR_010,39,Mass,Unemployed,70,39231.43,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000392,CLI_03672,BR_040,22,Mass,Gig-worker,2,27781.25,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000394,CLI_02236,BR_040,73,Mass,Self-employed,97,7291.37,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000398,CLI_02578,BR_023,39,Private,Salaried,51,41367.5,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000399,CLI_00676,BR_015,25,Mass,Salaried,40,4909.02,Denied,Score - Forgotten Micro-Debt,Credit Recovery - Micro-settlement
APP_000401,CLI_01682,BR_038,24,Mass,Gig-worker,75,8117.79,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000402,CLI_01277,BR_005,64,Mass,Self-employed,18,41708.2,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
APP_000403,CLI_04768,BR_040,57,Premium,Salaried,114,43259.88,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000405,CLI_04935,BR_021,37,Premium,Self-employed,64,6104.73,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000407,CLI_01313,BR_003,18,Mass,Gig-worker,55,40863.89,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000412,CLI_04089,BR_020,71,Premium,Self-employed,51,2494.47,Denied,Score - Disabled Positive Credit Registry,Credit Recovery - BACEN Education Journey
APP_000414,CLI_01286,BR_026,73,Mass,Gig-worker,63,25084.1,Denied,Income - Gig Worker with Inconsistent Cash Flow,Income Proof - Open Finance Connect
APP_000415,CLI_00535,BR_041,68,Private,Salaried,3,32451.18,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000420,CLI_04653,BR_010,31,Mass,Salaried,35,35081.83,Denied,Document Error - Expired or Illegible ID,Fast Update - Request New ID
APP_000421,CLI_04452,BR_022,39,Mass-Affluent,Gig-worker,37,18675.72,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000425,CLI_00365,BR_009,63,Mass,Salaried,2,31539.52,Denied,Policy - Debt-to-Income (DTI) > 30%,Restructuring - Add Co-signer or Increase Term
APP_000426,CLI_02656,BR_029,36,Mass,Self-employed,30,26215.76,Denied,Income - Missing Tax Return,Income Proof - Request Tax Return
