application_id,client_id,branch_id,requested_amount,status,rejection_reason,application_date,age,account_age_months,employment_type,segment,lost_value,recommended_action,is_rescuable
APP_000064,CLI_02217,BR_010,17478.79,Denied,Document Error - Expired or Illegible ID,2026-07-25,72,27,Salaried,Mass-Affluent,17478.79,Fast Update - Request New ID,True
APP_000065,CLI_00989,BR_023,29056.95,Denied,Score - Forgotten Micro-Debt,2026-04-23,52,59,Salaried,Mass-Affluent,29056.95,Credit Recovery - Micro-settlement,True
APP_000066,CLI_02609,BR_018,3088.05,Approved,,2026-04-01,27,53,Self-employed,Mass-Affluent,0.0,,
APP_000067,CLI_02476,BR_049,30879.84,Approved,,2026-06-16,65,56,Gig-worker,Mass,0.0,,
APP_000068,CLI_04515,BR_009,26647.28,Approved,,2026-04-11,45,33,Unemployed,Premium,0.0,,
APP_000069,CLI_01371,BR_046,39388.34,Approved,,2026-05-19,39,59,Salaried,Mass-Affluent,0.0,,
APP_000070,CLI_03589,BR_030,2415.52,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-22,22,85,Gig-worker,Mass-Affluent,2415.52,Income Proof - Open Finance Connect,True
APP_000071,CLI_02503,BR_013,39261.52,Approved,,2026-05-04,24,65,Self-employed,Mass,0.0,,
APP_000072,CLI_04810,BR_031,26522.98,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-04-27,39,48,Gig-worker,Mass-Affluent,26522.98,Income Proof - Open Finance Connect,True
APP_000073,CLI_00179,BR_046,19155.94,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-10,36,43,Salaried,Mass,19155.94,Fast Update - ID Verification,True
APP_000074,CLI_01930,BR_043,48303.77,Approved,,2026-06-24,59,86,Salaried,Premium,0.0,,
APP_000075,CLI_02549,BR_013,8845.86,Approved,,2026-05-15,32,23,Gig-worker,Mass,0.0,,
APP_000076,CLI_04835,BR_032,27524.93,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-19,45,66,Salaried,Mass,27524.93,Restructuring - Add Co-signer or Increase Term,True
APP_000077,CLI_00112,BR_017,16728.09,Approved,,2026-03-16,54,81,Salaried,Mass-Affluent,0.0,,
APP_000078,CLI_03220,BR_003,26846.83,Approved,,2026-08-12,56,83,Gig-worker,Mass,0.0,,
APP_000079,CLI_00715,BR_001,28061.5,Denied,Income - Missing Tax Return,2026-05-17,70,62,Gig-worker,Mass,28061.5,Income Proof - Request Tax Return,True
APP_000080,CLI_01402,BR_005,5382.96,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-20,45,58,Unemployed,Mass,5382.96,Restructuring - Add Co-signer or Increase Term,True
APP_000081,CLI_02925,BR_032,33395.62,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-18,68,82,Salaried,Premium,33395.62,Restructuring - Add Co-signer or Increase Term,True
APP_000082,CLI_01382,BR_025,32089.59,Denied,Document Error - Expired or Illegible ID,2026-05-05,73,103,Salaried,Mass,32089.59,Fast Update - Request New ID,True
APP_000083,CLI_03128,BR_045,38703.9,Approved,,2026-05-15,57,93,Salaried,Private,0.0,,
APP_000084,CLI_04909,BR_005,5442.27,Approved,,2026-08-24,44,38,Salaried,Mass,0.0,,
APP_000085,CLI_03012,BR_037,15565.67,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-20,21,40,Salaried,Mass,15565.67,Restructuring - Add Co-signer or Increase Term,True
APP_000086,CLI_01209,BR_023,32855.42,Approved,,2026-04-16,47,56,Gig-worker,Mass,0.0,,
APP_000087,CLI_03126,BR_012,7699.81,Denied,Document Error - Expired or Illegible ID,2026-07-22,29,111,Salaried,Mass,7699.81,Fast Update - Request New ID,True
APP_000088,CLI_00037,BR_034,34202.31,Approved,,2026-04-22,39,34,Salaried,Premium,0.0,,
APP_000089,CLI_01829,BR_023,3892.31,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-22,40,71,Gig-worker,Mass,3892.31,Restructuring - Add Co-signer or Increase Term,True
APP_000090,CLI_03061,BR_016,17411.65,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-08,40,98,Self-employed,Mass-Affluent,17411.65,Income Proof - Open Finance Connect,True
APP_000091,CLI_03342,BR_049,42488.84,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-11,50,116,Self-employed,Mass,42488.84,Income Proof - Open Finance Connect,True
APP_000092,CLI_03942,BR_005,38940.27,Approved,,2026-04-16,31,78,Salaried,Private,0.0,,
APP_000093,CLI_00810,BR_044,32593.28,Approved,,2026-07-17,27,49,Gig-worker,Mass,0.0,,
APP_000094,CLI_03073,BR_047,43652.46,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-05-03,52,73,Gig-worker,Mass,43652.46,Income Proof - Open Finance Connect,True
APP_000095,CLI_04119,BR_028,35754.21,Approved,,2026-07-19,56,106,Salaried,Mass,0.0,,
APP_000096,CLI_01527,BR_006,26449.38,Denied,Income - Missing Tax Return,2026-05-24,63,17,Self-employed,Mass-Affluent,26449.38,Income Proof - Request Tax Return,True
APP_000097,CLI_03520,BR_013,49006.16,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-30,23,107,Self-employed,Mass,49006.16,Income Proof - Open Finance Connect,True
APP_000098,CLI_04892,BR_043,35047.95,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-30,26,20,Salaried,Mass,35047.95,Fast Update - ID Verification,True
APP_000099,CLI_00496,BR_030,30466.99,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-07-27,45,37,Gig-worker,Mass,30466.99,Income Proof - Open Finance Connect,True
APP_000100,CLI_04996,BR_026,21034.66,Denied,Score - Forgotten Micro-Debt,2026-04-01,38,64,Salaried,Mass,21034.66,Credit Recovery - Micro-settlement,True
APP_000101,CLI_00425,BR_017,45218.21,Approved,,2026-08-19,29,26,Salaried,Mass-Affluent,0.0,,
APP_000102,CLI_02748,BR_009,15489.75,Approved,,2026-03-18,19,96,Unemployed,Mass,0.0,,
APP_000103,CLI_02066,BR_016,1451.76,Denied,Document Error - Expired or Illegible ID,2026-03-19,33,37,Salaried,Mass,1451.76,Fast Update - Request New ID,True
APP_000104,CLI_01983,BR_049,10640.29,Approved,,2026-03-27,29,10,Unemployed,Mass,0.0,,
APP_000105,CLI_01469,BR_018,6366.36,Approved,,2026-08-18,24,80,Gig-worker,Mass,0.0,,
APP_000106,CLI_03801,BR_013,16630.69,Approved,,2026-07-13,59,45,Self-employed,Mass,0.0,,
APP_000107,CLI_01234,BR_029,41468.06,Denied,Registry Error - Data Mismatch with Tax Authority,2026-06-25,62,64,Salaried,Private,41468.06,Fast Update - ID Verification,True
APP_000108,CLI_01798,BR_043,32924.95,Approved,,2026-08-31,63,64,Salaried,Mass,0.0,,
APP_000109,CLI_00565,BR_045,9280.05,Approved,,2026-08-29,49,56,Self-employed,Mass,0.0,,
APP_000110,CLI_03020,BR_024,39652.26,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-07,46,118,Self-employed,Mass,39652.26,Restructuring - Add Co-signer or Increase Term,True
APP_000111,CLI_01305,BR_045,25706.77,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-03-21,54,38,Salaried,Mass-Affluent,25706.77,Restructuring - Add Co-signer or Increase Term,True
APP_000112,CLI_00133,BR_044,26123.02,Denied,Score - Forgotten Micro-Debt,2026-04-22,54,105,Salaried,Mass-Affluent,26123.02,Credit Recovery - Micro-settlement,True
APP_000113,CLI_00449,BR_046,18743.5,Approved,,2026-03-14,68,48,Salaried,Mass,0.0,,
APP_000114,CLI_01831,BR_013,43366.2,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-18,26,50,Self-employed,Mass,43366.2,Income Proof - Open Finance Connect,True
APP_000115,CLI_02159,BR_025,16598.04,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-06-04,69,32,Gig-worker,Mass,16598.04,Income Proof - Open Finance Connect,True
APP_000116,CLI_03627,BR_041,5612.85,Approved,,2026-05-21,45,16,Gig-worker,Mass,0.0,,
APP_000117,CLI_00850,BR_046,15833.72,Approved,,2026-04-29,54,3,Salaried,Mass,0.0,,
APP_000118,CLI_03963,BR_001,36052.32,Denied,Restriction - Historical Default on Central Bank SCR,2026-06-26,59,48,Salaried,Mass,36052.32,Hard Decline - SCR Restriction,False
APP_000119,CLI_01481,BR_009,33221.51,Denied,Income - Gig Worker with Inconsistent Cash Flow,2026-08-25,64,62,Self-employed,Mass-Affluent,33221.51,Income Proof - Open Finance Connect,True
APP_000120,CLI_00901,BR_004,10212.84,Approved,,2026-08-24,74,67,Unemployed,Mass-Affluent,0.0,,
APP_000121,CLI_04855,BR_028,6477.43,Approved,,2026-07-19,71,41,Gig-worker,Mass,0.0,,
APP_000122,CLI_01540,BR_012,33382.42,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-19,53,86,Salaried,Mass-Affluent,33382.42,Fast Update - ID Verification,True
APP_000123,CLI_01900,BR_024,34142.46,Approved,,2026-07-15,44,93,Gig-worker,Mass,0.0,,
APP_000124,CLI_02945,BR_046,18941.33,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-01,63,77,Unemployed,Mass,18941.33,Restructuring - Add Co-signer or Increase Term,True
APP_000125,CLI_04958,BR_009,42297.27,Approved,,2026-08-07,18,92,Salaried,Mass,0.0,,
APP_000126,CLI_03245,BR_035,48932.05,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-06,63,27,Self-employed,Mass,48932.05,Restructuring - Add Co-signer or Increase Term,True
APP_000127,CLI_00515,BR_038,11076.62,Denied,Score - Forgotten Micro-Debt,2026-05-11,60,18,Salaried,Mass,11076.62,Credit Recovery - Micro-settlement,True
APP_000128,CLI_01592,BR_035,29276.37,Denied,Registry Error - Data Mismatch with Tax Authority,2026-04-08,71,24,Salaried,Mass,29276.37,Fast Update - ID Verification,True
APP_000129,CLI_00084,BR_033,1261.97,Approved,,2026-05-02,74,25,Self-employed,Private,0.0,,
APP_000130,CLI_03743,BR_035,35939.67,Approved,,2026-08-28,40,114,Unemployed,Mass-Affluent,0.0,,
APP_000131,CLI_04894,BR_046,21299.82,Approved,,2026-04-09,27,98,Salaried,Premium,0.0,,
APP_000132,CLI_02128,BR_020,10470.19,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-16,25,82,Unemployed,Mass,10470.19,Restructuring - Add Co-signer or Increase Term,True
APP_000133,CLI_01602,BR_002,37858.87,Denied,Score - Forgotten Micro-Debt,2026-05-06,53,67,Salaried,Mass,37858.87,Credit Recovery - Micro-settlement,True
APP_000134,CLI_04618,BR_044,40721.79,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-07-18,20,102,Salaried,Mass,40721.79,Restructuring - Add Co-signer or Increase Term,True
APP_000135,CLI_01223,BR_026,6447.16,Denied,Registry Error - Data Mismatch with Tax Authority,2026-06-04,19,49,Unemployed,Mass-Affluent,6447.16,Fast Update - ID Verification,True
APP_000136,CLI_04330,BR_042,3008.79,Approved,,2026-08-29,55,80,Self-employed,Mass,0.0,,
APP_000137,CLI_01843,BR_013,17369.84,Approved,,2026-04-14,52,111,Salaried,Mass-Affluent,0.0,,
APP_000138,CLI_02292,BR_030,31673.53,Denied,Score - Disabled Positive Credit Registry,2026-04-09,65,21,Gig-worker,Mass,31673.53,Credit Recovery - BACEN Education Journey,True
APP_000139,CLI_01590,BR_032,39877.56,Denied,Score - Disabled Positive Credit Registry,2026-05-06,57,34,Gig-worker,Mass,39877.56,Credit Recovery - BACEN Education Journey,True
APP_000140,CLI_02897,BR_036,27757.06,Approved,,2026-08-10,70,76,Self-employed,Mass,0.0,,
APP_000141,CLI_04489,BR_019,29456.69,Approved,,2026-07-24,51,8,Gig-worker,Mass-Affluent,0.0,,
APP_000142,CLI_00009,BR_022,40193.05,Approved,,2026-07-24,25,112,Unemployed,Mass,0.0,,
APP_000143,CLI_04709,BR_001,26913.33,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-17,53,28,Gig-worker,Mass,26913.33,Restructuring - Add Co-signer or Increase Term,True
APP_000144,CLI_00715,BR_011,30946.57,Approved,,2026-05-24,70,62,Gig-worker,Mass,0.0,,
APP_000145,CLI_01928,BR_026,26294.65,Denied,Registry Error - Data Mismatch with Tax Authority,2026-08-16,48,5,Salaried,Mass,26294.65,Fast Update - ID Verification,True
APP_000146,CLI_00110,BR_048,44142.45,Approved,,2026-03-06,44,34,Salaried,Mass-Affluent,0.0,,
APP_000147,CLI_04930,BR_019,12540.31,Approved,,2026-05-06,42,117,Salaried,Mass,0.0,,
APP_000148,CLI_00266,BR_019,13935.69,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-03,34,19,Salaried,Mass,13935.69,Restructuring - Add Co-signer or Increase Term,True
APP_000149,CLI_03224,BR_012,7270.11,Denied,Score - Forgotten Micro-Debt,2026-06-22,54,30,Salaried,Mass-Affluent,7270.11,Credit Recovery - Micro-settlement,True
APP_000150,CLI_00955,BR_003,41153.87,Approved,,2026-03-16,34,71,Self-employed,Mass,0.0,,
APP_000151,CLI_01350,BR_018,21177.09,Approved,,2026-03-29,69,109,Salaried,Mass,0.0,,
APP_000152,CLI_01575,BR_049,18046.8,Denied,Score - Disabled Positive Credit Registry,2026-06-16,60,4,Self-employed,Mass,18046.8,Credit Recovery - BACEN Education Journey,True
APP_000153,CLI_02224,BR_005,49086.09,Approved,,2026-04-05,70,60,Self-employed,Mass-Affluent,0.0,,
APP_000154,CLI_03832,BR_048,46413.36,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-22,58,49,Gig-worker,Mass-Affluent,46413.36,Restructuring - Add Co-signer or Increase Term,True
APP_000155,CLI_03256,BR_024,48627.4,Approved,,2026-04-28,39,25,Gig-worker,Mass,0.0,,
APP_000156,CLI_01059,BR_014,7972.65,Approved,,2026-05-25,54,61,Self-employed,Mass-Affluent,0.0,,
APP_000157,CLI_01958,BR_038,44671.34,Approved,,2026-05-08,62,47,Business Owner,Premium,0.0,,
APP_000158,CLI_04945,BR_003,17106.77,Approved,,2026-08-17,31,54,Salaried,Premium,0.0,,
APP_000159,CLI_03148,BR_006,1620.18,Approved,,2026-06-03,57,42,Self-employed,Mass,0.0,,
APP_000160,CLI_02520,BR_012,20173.62,Denied,Score - Disabled Positive Credit Registry,2026-03-11,61,110,Gig-worker,Mass-Affluent,20173.62,Credit Recovery - BACEN Education Journey,True
APP_000161,CLI_03654,BR_011,25950.62,Approved,,2026-04-19,47,23,Self-employed,Premium,0.0,,
APP_000162,CLI_02571,BR_039,6302.8,Approved,,2026-04-08,53,30,Salaried,Mass-Affluent,0.0,,
APP_000163,CLI_02928,BR_026,27346.2,Approved,,2026-06-04,51,92,Unemployed,Mass-Affluent,0.0,,
APP_000164,CLI_03888,BR_001,41153.72,Approved,,2026-04-05,36,26,Gig-worker,Mass,0.0,,
APP_000165,CLI_00888,BR_016,19504.9,Approved,,2026-05-08,41,12,Salaried,Mass,0.0,,
APP_000166,CLI_00745,BR_048,18279.6,Approved,,2026-04-18,71,83,Self-employed,Mass-Affluent,0.0,,
APP_000167,CLI_03515,BR_049,17601.71,Denied,Income - Missing Tax Return,2026-08-12,66,68,Self-employed,Mass,17601.71,Income Proof - Request Tax Return,True
APP_000168,CLI_02931,BR_047,46231.63,Approved,,2026-06-11,19,59,Salaried,Mass,0.0,,
APP_000169,CLI_02680,BR_009,3389.15,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-07,54,19,Self-employed,Mass,3389.15,Restructuring - Add Co-signer or Increase Term,True
APP_000170,CLI_00176,BR_005,22808.73,Denied,Score - Disabled Positive Credit Registry,2026-06-26,20,18,Gig-worker,Mass-Affluent,22808.73,Credit Recovery - BACEN Education Journey,True
APP_000171,CLI_00566,BR_008,13965.37,Approved,,2026-07-01,54,106,Salaried,Premium,0.0,,
APP_000172,CLI_03218,BR_021,44796.54,Approved,,2026-08-14,46,14,Salaried,Mass,0.0,,
APP_000173,CLI_04358,BR_033,5706.56,Approved,,2026-06-02,74,42,Gig-worker,Mass,0.0,,
APP_000174,CLI_04627,BR_039,21160.7,Approved,,2026-05-14,71,68,Gig-worker,Mass,0.0,,
APP_000175,CLI_01395,BR_043,20933.99,Approved,,2026-07-07,18,36,Gig-worker,Mass,0.0,,
APP_000176,CLI_01221,BR_020,44531.33,Approved,,2026-06-08,21,39,Self-employed,Mass-Affluent,0.0,,
APP_000177,CLI_00948,BR_045,11559.18,Approved,,2026-04-04,74,6,Salaried,Mass,0.0,,
APP_000178,CLI_00585,BR_022,32599.88,Approved,,2026-08-24,53,49,Salaried,Mass-Affluent,0.0,,
APP_000179,CLI_02863,BR_013,7585.9,Approved,,2026-04-15,31,104,Salaried,Mass,0.0,,
APP_000180,CLI_01621,BR_039,47744.81,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-05-17,18,50,Gig-worker,Premium,47744.81,Restructuring - Add Co-signer or Increase Term,True
APP_000181,CLI_03356,BR_011,30057.73,Approved,,2026-08-20,37,119,Unemployed,Mass,0.0,,
APP_000182,CLI_02350,BR_018,31686.58,Approved,,2026-03-09,29,17,Gig-worker,Mass,0.0,,
APP_000183,CLI_03192,BR_030,22254.9,Denied,Registry Error - Data Mismatch with Tax Authority,2026-05-21,46,67,Salaried,Mass,22254.9,Fast Update - ID Verification,True
APP_000184,CLI_03208,BR_033,17771.85,Denied,Score - Forgotten Micro-Debt,2026-06-30,30,16,Salaried,Mass,17771.85,Credit Recovery - Micro-settlement,True
APP_000185,CLI_02577,BR_044,11421.15,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-08-05,30,89,Gig-worker,Mass,11421.15,Restructuring - Add Co-signer or Increase Term,True
APP_000186,CLI_00532,BR_003,30595.4,Approved,,2026-07-28,27,79,Gig-worker,Mass,0.0,,
APP_000187,CLI_01232,BR_001,47773.53,Denied,Policy - Debt-to-Income (DTI) > 30%,2026-04-24,64,95,Business Owner,Mass,47773.53,Restructuring - Add Co-signer or Increase Term,True
APP_000188,CLI_01994,BR_036,18629.76,Approved,,2026-04-18,31,64,Gig-worker,Mass,0.0,,
